Goodfellas, 1990, 21 Sep 1990, English, 146, Nicholas Pileggi (book)  Nicholas Pileggi (screenplay)  Martin Scorsese (screenplay), Martin Scorsese, 8.7, R, tt0099685, 619823, Biography  Crime  Drama, Won 1 Oscar. Another 42 wins & 24 nominations.
The Godfather: Part III, 1990, 26 Dec 1990, English, 162, Mario Puzo  Francis Ford Coppola, Francis Ford Coppola, 7.6, R, tt0099674, 225088, Crime  Drama, Nominated for 7 Oscars. Another 4 wins & 12 nominations.
Dances with Wolves, 1990, 21 Nov 1990, English, 181, Michael Blake (screenplay)  Michael Blake (novel), Kevin Costner, 8.0, PG-13, tt0099348, 165647, Adventure  Drama  Western, Won 7 Oscars. Another 41 wins & 27 nominations.
Pretty Woman, 1990, 23 Mar 1990, English, 119, J.F. Lawton, Garry Marshall, 6.9, R, tt0100405, 184814, Comedy  Romance, Nominated for 1 Oscar. Another 8 wins & 10 nominations.
Home Alone, 1990, 16 Nov 1990, English, 103, John Hughes, Chris Columbus, 7.4, PG, tt0099785, 259705, Comedy  Family, Nominated for 2 Oscars. Another 10 wins & 4 nominations.
Edward Scissorhands, 1990, 14 Dec 1990, English, 105, Tim Burton (story)  Caroline Thompson (story)  Caroline Thompson (screenplay), Tim Burton, 8.0, PG-13, tt0099487, 316288, Drama  Fantasy  Romance, Nominated for 1 Oscar. Another 9 wins & 11 nominations.
Total Recall, 1990, 1 Jun 1990, English, 113, Philip K. Dick (short story "We Can Remember It For You Wholesale")  Ronald Shusett (screen story)  Dan O'Bannon (screen story)  Jon Povill (screen story)  Ronald Shusett (screenplay)  Dan O'Bannon (screenplay)  Gary Goldman (screenplay), Paul Verhoeven, 7.5, R, tt0100802, 214122, Action  Adventure  Sci-Fi, Nominated for 2 Oscars. Another 7 wins & 13 nominations.
Back to the Future Part III, 1990, 25 May 1990, English, 118, Robert Zemeckis (characters)  Bob Gale (characters)  Robert Zemeckis (story)  Bob Gale (story)  Bob Gale (screenplay), Robert Zemeckis, 7.4, PG, tt0099088, 225999, Adventure  Comedy  Romance, 4 wins & 8 nominations.
Ghost, 1990, 13 Jul 1990, English, 127, Bruce Joel Rubin, Jerry Zucker, 7.0, PG-13, tt0099653, 139036, Drama  Fantasy  Romance, Won 2 Oscars. Another 16 wins & 22 nominations.
Lord of the Flies, 1990, 16 Mar 1990, English, 90, William Golding (novel)  Jay Presson Allen (screenplay), Harry Hook, 6.4, R, tt0100054, 20172, Adventure  Drama  Thriller, 3 nominations.
Cry-Baby, 1990, 6 Apr 1990, English, 85, John Waters, John Waters, 6.5, PG-13, tt0099329, 39759, Comedy  Musical, N/A
Teenage Mutant Ninja Turtles, 1990, 30 Mar 1990, English, 93, Kevin Eastman (characters)  Peter Laird (characters)  Bobby Herbeck (story)  Todd W. Langen (screenplay)  Bobby Herbeck (screenplay), Steve Barron, 6.7, PG, tt0100758, 63786, Action  Adventure  Comedy, 2 wins & 3 nominations.
Rocky V, 1990, 16 Nov 1990, English, 104, Sylvester Stallone, John G. Avildsen, 5.1, PG-13, tt0100507, 74326, Drama  Sport, 9 nominations.
Tales from the Darkside: The Movie, 1990, 4 May 1990, English, 93, Michael McDowell  Arthur Conan Doyle (short story "Lot 249")  Michael McDowell (screenplay)  Stephen King (short story)  George A. Romero (screenplay), John Harrison, 6.1, R, tt0100740, 9088, Comedy  Horror  Thriller, 1 win.
Misery, 1990, 30 Nov 1990, English, 107, Stephen King (novel)  William Goldman (screenplay), Rob Reiner, 7.8, R, tt0100157, 119051, Thriller, Won 1 Oscar. Another 4 wins & 7 nominations.
Tremors, 1990, 19 Jan 1990, English, 96, S.S. Wilson (story)  Brent Maddock (story)  Ron Underwood (story)  S.S. Wilson (screenplay)  Brent Maddock (screenplay), Ron Underwood, 7.2, PG-13, tt0100814, 78332, Comedy  Horror  Sci-Fi, 5 nominations.
The Hunt for Red October, 1990, 2 Mar 1990, English, 135, Tom Clancy (novel)  Larry Ferguson (screenplay)  Donald Stewart (screenplay), John McTiernan, 7.6, PG, tt0099810, 130143, Action  Adventure  Thriller, Won 1 Oscar. Another 2 wins & 6 nominations.
RoboCop 2, 1990, 22 Jun 1990, English, 117, Edward Neumeier (characters)  Michael Miner (characters)  Frank Miller (story)  Frank Miller (screenplay)  Walon Green (screenplay), Irvin Kershner, 5.7, R, tt0100502, 54739, Action  Sci-Fi, 3 nominations.
Predator 2, 1990, 21 Nov 1990, English, 108, Jim Thomas (characters)  John Thomas (characters)  Jim Thomas  John Thomas, Stephen Hopkins, 6.2, R, tt0100403, 88630, Action  Sci-Fi  Thriller, 1 win & 4 nominations.
Awakenings, 1990, 11 Jan 1991, English, 121, Oliver Sacks (book)  Steven Zaillian (screenplay), Penny Marshall, 7.8, PG-13, tt0099077, 81936, Biography  Drama, Nominated for 3 Oscars. Another 6 wins & 5 nominations.
Jacob's Ladder, 1990, 2 Nov 1990, English, 113, Bruce Joel Rubin, Adrian Lyne, 7.6, R, tt0099871, 68175, Drama  Horror  Mystery, 2 wins.
