Reservoir Dogs, 1992, 2 Sep 1992, English, 99, Quentin Tarantino  Roger Avary (background radio dialog)  Quentin Tarantino (background radio dialog), Quentin Tarantino, 8.4, R, tt0105236, 555653, Crime  Drama, 12 wins & 10 nominations.
The Last of the Mohicans, 1992, 25 Sep 1992, English, 112, James Fenimore Cooper (novel)  John L. Balderston (adaptation)  Paul Perez (adaptation)  Daniel Moore (adaptation)  Philip Dunne  Michael Mann (screenplay)  Christopher Crowe (screenplay), Michael Mann, 7.8, R, tt0104691, 100384, Action  Adventure  Drama, Won 1 Oscar. Another 5 wins & 12 nominations.
Aladdin, 1992, 25 Nov 1992, English, 90, Ron Clements (screenplay)  John Musker (screenplay)  Ted Elliott (screenplay)  Terry Rossio (screenplay)  Burny Mattinson (story)  Roger Allers (story)  Daan Jippes (story)  Kevin Harkey (story)  Sue C. Nichols (story)  Francis Glebas (story)  Darrell Rooney (story)  Larry Leker (story)  James Fujii (story)  Kirk Hanson (story)  Kevin Lima (story)  Rebecca Rees (story)  David S. Smith (story)  Chris Sanders (story)  Brian Pimental (story)  Patrick A. Ventura (story), Ron Clements  John Musker, 8.0, G, tt0103639, 220572, Animation  Adventure  Comedy, Won 2 Oscars. Another 24 wins & 16 nominations.
Batman Returns, 1992, 19 Jun 1992, English, 126, Bob Kane (Batman characters)  Daniel Waters (story)  Sam Hamm (story)  Daniel Waters (screenplay), Tim Burton, 7.0, PG-13, tt0103776, 189423, Action, Nominated for 2 Oscars. Another 2 wins & 14 nominations.
Dracula, 1992, 13 Nov 1992, English, 128, Bram Stoker (novel)  James V. Hart (screenplay), Francis Ford Coppola, 7.5, R, tt0103874, 127220, Horror  Romance, Won 3 Oscars. Another 12 wins & 15 nominations.
Unforgiven, 1992, 7 Aug 1992, English, 131, David Webb Peoples, Clint Eastwood, 8.3, R, tt0105695, 240806, Western, Won 4 Oscars. Another 42 wins & 21 nominations.
Basic Instinct, 1992, 20 Mar 1992, English, 127, Joe Eszterhas, Paul Verhoeven, 6.9, R, tt0103772, 119444, Drama  Mystery  Thriller, Nominated for 2 Oscars. Another 5 wins & 16 nominations.
A League of Their Own, 1992, 1 Jul 1992, English, 128, Kim Wilson (story)  Kelly Candaele (story)  Lowell Ganz (screenplay)  Babaloo Mandel (screenplay), Penny Marshall, 7.2, PG, tt0104694, 64377, Comedy  Drama  Sport, Nominated for 2 Golden Globes. Another 6 wins & 5 nominations.
The Mighty Ducks, 1992, 2 Oct 1992, English, 100, Steven Brill, Stephen Herek, 6.4, PG, tt0104868, 39277, Action  Comedy  Drama, 2 nominations.
The Making of 'Alien 3', 1992, N/A, English, N/A, Patricia Sullivan, N/A, 7.0, PG-13, tt0349773, 89, Documentary, N/A
A Few Good Men, 1992, 11 Dec 1992, English, 138, Aaron Sorkin (play)  Aaron Sorkin (screenplay), Rob Reiner, 7.6, R, tt0104257, 163588, Drama  Thriller, Nominated for 4 Oscars. Another 10 wins & 15 nominations.
Scent of a Woman, 1992, 8 Jan 1993, English, 156, Giovanni Arpino (novel)  Bo Goldman (screenplay)  Ruggero Maccari (character from Profumo Di Donna)  Dino Risi (character from Profumo Di Donna), Martin Brest, 8.0, R, tt0105323, 174644, Drama, Won 1 Oscar. Another 6 wins & 9 nominations.
A River Runs Through It, 1992, 30 Oct 1992, English, 123, Norman Maclean (story)  Richard Friedenberg (screenplay), Robert Redford, 7.3, PG, tt0105265, 37582, Drama, Won 1 Oscar. Another 4 wins & 6 nominations.
Wayne's World, 1992, 14 Feb 1992, English, 94, Mike Myers (characters)  Mike Myers  Bonnie Turner  Terry Turner, Penelope Spheeris, 7.0, PG-13, tt0105793, 101525, Comedy  Music, 3 wins & 3 nominations.
Of Mice and Men, 1992, 2 Oct 1992, English, 115, John Steinbeck (novel)  Horton Foote (screenplay), Gary Sinise, 7.6, PG-13, tt0105046, 29236, Drama, 1 nomination.
Sister Act, 1992, 29 May 1992, English, 100, Joseph Howard, Emile Ardolino, 6.2, PG, tt0105417, 55647, Comedy  Music, Nominated for 2 Golden Globes. Another 7 wins & 5 nominations.
My Cousin Vinny, 1992, 13 Mar 1992, English, 120, Dale Launer, Jonathan Lynn, 7.5, R, tt0104952, 75897, Comedy  Crime, Won 1 Oscar. Another 3 wins & 2 nominations.
Newsies, 1992, 10 Apr 1992, English, 121, Bob Tzudiker  Noni White, Kenny Ortega, 6.9, PG, tt0104990, 14594, Drama  Musical, 1 win & 5 nominations.
The Bodyguard, 1992, 25 Nov 1992, English, 129, Lawrence Kasdan, Mick Jackson, 6.1, R, tt0103855, 79264, Action  Drama  Music, Nominated for 2 Oscars. Another 10 wins & 18 nominations.
Home Alone 2: Lost in New York, 1992, 20 Nov 1992, English, 120, John Hughes (characters)  John Hughes, Chris Columbus, 6.5, PG, tt0104431, 163982, Adventure  Comedy  Family, 3 wins & 2 nominations.
Glengarry Glen Ross, 1992, 2 Oct 1992, English, 100, David Mamet (play)  David Mamet (screenplay), James Foley, 7.9, R, tt0104348, 67949, Drama, Nominated for 1 Oscar. Another 5 wins & 6 nominations.
Death Becomes Her, 1992, 31 Jul 1992, English, 104, Martin Donovan  David Koepp, Robert Zemeckis, 6.4, PG-13, tt0104070, 70149, Comedy  Fantasy, Won 1 Oscar. Another 4 wins & 11 nominations.
Far and Away, 1992, 22 May 1992, English, 140, Bob Dolman (story)  Ron Howard (story)  Bob Dolman (screenplay), Ron Howard, 6.5, PG-13, tt0104231, 43392, Adventure  Drama  Romance, 3 nominations.
Malcolm X, 1992, 18 Nov 1992, English, 202, Alex Haley (book)  Malcolm X (book)  Arnold Perl (screenplay)  Spike Lee (screenplay), Spike Lee, 7.7, PG-13, tt0104797, 57751, Biography  Drama  History, Nominated for 2 Oscars. Another 20 wins & 10 nominations.
Patriot Games, 1992, 5 Jun 1992, English, 117, Tom Clancy (novel)  W. Peter Iliff (screenplay)  Donald Stewart (screenplay), Phillip Noyce, 6.9, R, tt0105112, 73552, Action  Crime  Drama, 1 win & 2 nominations.
Encino Man, 1992, 22 May 1992, English, 88, George Zaloom (story)  Shawn Schepps (story)  Shawn Schepps (screenplay), Les Mayfield, 5.6, PG, tt0104187, 27295, Comedy, 1 win & 1 nomination.
Buffy the Vampire Slayer, 1992, 31 Jul 1992, English, 86, Joss Whedon, Fran Rubel Kuzui, 5.5, PG-13, tt0103893, 29458, Action  Comedy  Fantasy, 1 nomination.
Twin Peaks: Fire Walk with Me, 1992, 28 Aug 1992, English, 135, David Lynch  Robert Engels  Mark Frost (television series Twin Peaks)  David Lynch (television series Twin Peaks), David Lynch, 7.2, R, tt0105665, 47747, Mystery  Thriller, 3 wins & 6 nominations.
Candyman, 1992, 16 Oct 1992, English, 99, Clive Barker (story)  Bernard Rose, Bernard Rose, 6.6, R, tt0103919, 46548, Drama  Horror  Mystery, 5 wins & 7 nominations.
Reservoir Dogs, 1992, 2 Sep 1992, English, 99, Quentin Tarantino  Roger Avary (background radio dialog)  Quentin Tarantino (background radio dialog), Quentin Tarantino, 8.4, R, tt0105236, 555653, Crime  Drama, 12 wins & 10 nominations.
The Last of the Mohicans, 1992, 25 Sep 1992, English, 112, James Fenimore Cooper (novel)  John L. Balderston (adaptation)  Paul Perez (adaptation)  Daniel Moore (adaptation)  Philip Dunne  Michael Mann (screenplay)  Christopher Crowe (screenplay), Michael Mann, 7.8, R, tt0104691, 100384, Action  Adventure  Drama, Won 1 Oscar. Another 5 wins & 12 nominations.
Aladdin, 1992, 25 Nov 1992, English, 90, Ron Clements (screenplay)  John Musker (screenplay)  Ted Elliott (screenplay)  Terry Rossio (screenplay)  Burny Mattinson (story)  Roger Allers (story)  Daan Jippes (story)  Kevin Harkey (story)  Sue C. Nichols (story)  Francis Glebas (story)  Darrell Rooney (story)  Larry Leker (story)  James Fujii (story)  Kirk Hanson (story)  Kevin Lima (story)  Rebecca Rees (story)  David S. Smith (story)  Chris Sanders (story)  Brian Pimental (story)  Patrick A. Ventura (story), Ron Clements  John Musker, 8.0, G, tt0103639, 220572, Animation  Adventure  Comedy, Won 2 Oscars. Another 24 wins & 16 nominations.
Batman Returns, 1992, 19 Jun 1992, English, 126, Bob Kane (Batman characters)  Daniel Waters (story)  Sam Hamm (story)  Daniel Waters (screenplay), Tim Burton, 7.0, PG-13, tt0103776, 189423, Action, Nominated for 2 Oscars. Another 2 wins & 14 nominations.
Dracula, 1992, 13 Nov 1992, English, 128, Bram Stoker (novel)  James V. Hart (screenplay), Francis Ford Coppola, 7.5, R, tt0103874, 127220, Horror  Romance, Won 3 Oscars. Another 12 wins & 15 nominations.
Unforgiven, 1992, 7 Aug 1992, English, 131, David Webb Peoples, Clint Eastwood, 8.3, R, tt0105695, 240806, Western, Won 4 Oscars. Another 42 wins & 21 nominations.
Basic Instinct, 1992, 20 Mar 1992, English, 127, Joe Eszterhas, Paul Verhoeven, 6.9, R, tt0103772, 119444, Drama  Mystery  Thriller, Nominated for 2 Oscars. Another 5 wins & 16 nominations.
A League of Their Own, 1992, 1 Jul 1992, English, 128, Kim Wilson (story)  Kelly Candaele (story)  Lowell Ganz (screenplay)  Babaloo Mandel (screenplay), Penny Marshall, 7.2, PG, tt0104694, 64377, Comedy  Drama  Sport, Nominated for 2 Golden Globes. Another 6 wins & 5 nominations.
The Mighty Ducks, 1992, 2 Oct 1992, English, 100, Steven Brill, Stephen Herek, 6.4, PG, tt0104868, 39277, Action  Comedy  Drama, 2 nominations.
The Making of 'Alien 3', 1992, N/A, English, N/A, Patricia Sullivan, N/A, 7.0, PG-13, tt0349773, 89, Documentary, N/A
A Few Good Men, 1992, 11 Dec 1992, English, 138, Aaron Sorkin (play)  Aaron Sorkin (screenplay), Rob Reiner, 7.6, R, tt0104257, 163588, Drama  Thriller, Nominated for 4 Oscars. Another 10 wins & 15 nominations.
Scent of a Woman, 1992, 8 Jan 1993, English, 156, Giovanni Arpino (novel)  Bo Goldman (screenplay)  Ruggero Maccari (character from Profumo Di Donna)  Dino Risi (character from Profumo Di Donna), Martin Brest, 8.0, R, tt0105323, 174644, Drama, Won 1 Oscar. Another 6 wins & 9 nominations.
A River Runs Through It, 1992, 30 Oct 1992, English, 123, Norman Maclean (story)  Richard Friedenberg (screenplay), Robert Redford, 7.3, PG, tt0105265, 37582, Drama, Won 1 Oscar. Another 4 wins & 6 nominations.
Wayne's World, 1992, 14 Feb 1992, English, 94, Mike Myers (characters)  Mike Myers  Bonnie Turner  Terry Turner, Penelope Spheeris, 7.0, PG-13, tt0105793, 101525, Comedy  Music, 3 wins & 3 nominations.
Of Mice and Men, 1992, 2 Oct 1992, English, 115, John Steinbeck (novel)  Horton Foote (screenplay), Gary Sinise, 7.6, PG-13, tt0105046, 29236, Drama, 1 nomination.
Sister Act, 1992, 29 May 1992, English, 100, Joseph Howard, Emile Ardolino, 6.2, PG, tt0105417, 55647, Comedy  Music, Nominated for 2 Golden Globes. Another 7 wins & 5 nominations.
My Cousin Vinny, 1992, 13 Mar 1992, English, 120, Dale Launer, Jonathan Lynn, 7.5, R, tt0104952, 75897, Comedy  Crime, Won 1 Oscar. Another 3 wins & 2 nominations.
Newsies, 1992, 10 Apr 1992, English, 121, Bob Tzudiker  Noni White, Kenny Ortega, 6.9, PG, tt0104990, 14594, Drama  Musical, 1 win & 5 nominations.
The Bodyguard, 1992, 25 Nov 1992, English, 129, Lawrence Kasdan, Mick Jackson, 6.1, R, tt0103855, 79264, Action  Drama  Music, Nominated for 2 Oscars. Another 10 wins & 18 nominations.
