The Shawshank Redemption, 1994, 14 Oct 1994, English, 142, Stephen King (short story "Rita Hayworth and Shawshank Redemption")  Frank Darabont (screenplay), Frank Darabont, 9.3, R, tt0111161, 1445154, Crime  Drama, Nominated for 7 Oscars. Another 16 wins & 16 nominations.
Léon: The Professional, 1994, 18 Nov 1994, English, 110, Luc Besson, Luc Besson, 8.6, R, tt0110413, 608542, Crime  Drama  Thriller, 3 wins & 8 nominations.
Pulp Fiction, 1994, 14 Oct 1994, English, 154, Quentin Tarantino (story)  Roger Avary (story)  Quentin Tarantino, Quentin Tarantino, 8.9, R, tt0110912, 1117616, Crime  Drama, Won 1 Oscar. Another 63 wins & 47 nominations.
Forrest Gump, 1994, 6 Jul 1994, English, 142, Winston Groom (novel)  Eric Roth (screenplay), Robert Zemeckis, 8.8, PG-13, tt0109830, 1019156, Drama  Romance, Won 6 Oscars. Another 40 wins & 47 nominations.
The Lion King, 1994, 24 Jun 1994, English, 89, Irene Mecchi (screenplay)  Jonathan Roberts (screenplay)  Linda Woolverton (screenplay)  Brenda Chapman (story)  Burny Mattinson (story)  Barry Johnson (story)  Lorna Cook (story)  Thom Enriquez (story)  Andy Gaskill (story)  Gary Trousdale (story)  Jim Capobianco (story)  Kevin Harkey (story)  Jorgen Klubien (story)  Chris Sanders (story)  Tom Sito (story)  Larry Leker (story)  Joe Ranft (story)  Rick Maki (story)  Ed Gombert (story)  Francis Glebas (story)  Mark Kausler (story)  J.T. Allen (additional story material)  George Scribner (additional story material)  Miguel Tejada-Flores (additional story material)  Jenny Tripp (additional story material)  Bob Tzudiker (additional story material)  Christopher Vogler (additional story material)  Kirk Wise (additional story material)  Noni White (additional story material), Roger Allers  Rob Minkoff, 8.5, G, tt0110357, 519610, Animation  Adventure  Drama, Won 2 Oscars. Another 27 wins & 25 nominations.
Stargate, 1994, 28 Oct 1994, English, 121, Dean Devlin  Roland Emmerich, Roland Emmerich, 7.0, PG-13, tt0111282, 137483, Action  Adventure  Sci-Fi, 6 wins & 5 nominations.
Natural Born Killers, 1994, 26 Aug 1994, English, 118, Quentin Tarantino (story)  David Veloz (screenplay)  Richard Rutowski (screenplay)  Oliver Stone (screenplay), Oliver Stone, 7.3, R, tt0110632, 155256, Crime  Drama, Nominated for 1 Golden Globe. Another 3 wins & 4 nominations.
The Little Rascals, 1994, 5 Aug 1994, English, 82, Penelope Spheeris (story)  Robert Wolterstorff (story)  Mike Scott (story)  Paul Guay (story)  Stephen Mazur (story)  Paul Guay (screenplay)  Stephen Mazur (screenplay)  Penelope Spheeris (screenplay), Penelope Spheeris, 6.2, PG, tt0110366, 30057, Comedy  Family  Romance, 2 wins.
New Nightmare, 1994, 14 Oct 1994, English, 112, Wes Craven (characters)  Wes Craven, Wes Craven, 6.4, R, tt0111686, 32987, Fantasy  Horror  Mystery, 1 win & 5 nominations.
Interview with the Vampire: The Vampire Chronicles, 1994, 11 Nov 1994, English, 123, Anne Rice (screenplay)  Anne Rice (novel), Neil Jordan, 7.6, R, tt0110148, 216968, Horror  Romance, Nominated for 2 Oscars. Another 20 wins & 18 nominations.
The Mask, 1994, 29 Jul 1994, English, 101, Michael Fallon (story)  Mark Verheiden (story)  Mike Werb (screenplay), Chuck Russell, 6.8, PG-13, tt0110475, 230281, Comedy  Crime  Fantasy, Nominated for 1 Oscar. Another 6 wins & 17 nominations.
Legends of the Fall, 1994, 13 Jan 1995, English, 133, Susan Shilliday (screenplay)  William D. Wittliff (screenplay)  Jim Harrison (novel), Edward Zwick, 7.5, R, tt0110322, 98867, Drama  Romance  War, Won 1 Oscar. Another 1 win & 8 nominations.
The Client, 1994, 20 Jul 1994, English, 119, John Grisham (novel)  Akiva Goldsman (screenplay)  Robert Getchell (screenplay), Joel Schumacher, 6.7, PG-13, tt0109446, 41755, Crime  Drama  Mystery, Nominated for 1 Oscar. Another 3 wins & 3 nominations.
The Crow, 1994, 13 May 1994, English, 102, James O'Barr (comic book series and comic strip)  David J. Schow (screenplay)  John Shirley (screenplay), Alex Proyas, 7.6, R, tt0109506, 123860, Action  Fantasy, 2 wins & 6 nominations.
Speed, 1994, 10 Jun 1994, English, 116, Graham Yost, Jan de Bont, 7.2, R, tt0111257, 234330, Action  Crime  Thriller, Won 2 Oscars. Another 14 wins & 16 nominations.
