Jurassic Park, 1993, 11 Jun 1993, English, 127, Michael Crichton (novel)  Michael Crichton (screenplay)  David Koepp (screenplay), Steven Spielberg, 8.0, PG-13, tt0107290, 475053, Adventure  Sci-Fi  Thriller, Won 3 Oscars. Another 24 wins & 16 nominations.
Schindler's List, 1993, 4 Feb 1994, English, 195, Thomas Keneally (book)  Steven Zaillian (screenplay), Steven Spielberg, 8.9, R, tt0108052, 730138, Biography  Drama  History, Won 7 Oscars. Another 74 wins & 26 nominations.
Dazed and Confused, 1993, 10 Feb 1994, English, 102, Richard Linklater, Richard Linklater, 7.7, R, tt0106677, 103352, Comedy, 2 nominations.
The Sandlot, 1993, 7 Apr 1993, English, 101, David M. Evans  Robert Gunter, David M. Evans, 7.8, PG, tt0108037, 50418, Comedy  Drama  Family, 1 win.
What's Eating Gilbert Grape, 1993, 4 Mar 1994, English, 118, Peter Hedges (novel)  Peter Hedges (screenplay), Lasse Hallström, 7.8, PG-13, tt0108550, 152607, Drama, Nominated for 1 Oscar. Another 7 wins & 1 nomination.
True Romance, 1993, 10 Sep 1993, English, 120, Quentin Tarantino, Tony Scott, 8.0, R, tt0108399, 146042, Crime  Drama  Thriller, 1 win & 7 nominations.
Cliffhanger, 1993, 28 May 1993, English, 112, John Long (premise)  Michael France (screen story)  Michael France (screenplay)  Sylvester Stallone (screenplay), Renny Harlin, 6.3, R, tt0106582, 85720, Action  Adventure  Thriller, Nominated for 3 Oscars. Another 1 win & 7 nominations.
Groundhog Day, 1993, 12 Feb 1993, English, 101, Danny Rubin (screenplay)  Harold Ramis (screenplay)  Danny Rubin (story), Harold Ramis, 8.1, PG, tt0107048, 369921, Comedy  Fantasy  Romance, Won 1 BAFTA Film Award. Another 6 wins & 7 nominations.
Tombstone, 1993, 25 Dec 1993, English, 130, Kevin Jarre, George P. Cosmatos  Kevin Jarre, 7.8, R, tt0108358, 85568, Action  Drama  History, 2 nominations.
Hocus Pocus, 1993, 16 Jul 1993, English, 96, David Kirschner (story)  Mick Garris (story)  Mick Garris (screenplay)  Neil Cuthbert (screenplay), Kenny Ortega, 6.6, PG, tt0107120, 51898, Comedy  Fantasy, 2 wins & 9 nominations.
Mrs. Doubtfire, 1993, 24 Nov 1993, English, 125, Anne Fine (novel)  Randi Mayem Singer (screenplay)  Leslie Dixon (screenplay), Chris Columbus, 6.9, PG-13, tt0107614, 156143, Comedy  Drama  Family, Won 1 Oscar. Another 9 wins & 6 nominations.
Addams Family Values, 1993, 19 Nov 1993, English, 94, Charles Addams (characters)  Paul Rudnick, Barry Sonnenfeld, 6.6, PG-13, tt0106220, 49824, Comedy  Fantasy, Nominated for 1 Oscar. Another 3 wins & 9 nominations.
The Fugitive, 1993, 6 Aug 1993, English, 130, Jeb Stuart (screenplay)  David Twohy (screenplay)  David Twohy (story)  Roy Huggins (characters), Andrew Davis, 7.8, PG-13, tt0106977, 193788, Action  Adventure  Crime, Won 1 Oscar. Another 12 wins & 24 nominations.
Homeward Bound: The Incredible Journey, 1993, 12 Feb 1993, English, 84, Sheila Burnford (novel)  Caroline Thompson (screenplay)  Linda Woolverton (screenplay), Duwayne Dunham, 6.9, G, tt0107131, 29279, Adventure  Drama  Family, N/A
The Nightmare Before Christmas, 1993, 29 Oct 1993, English, 76, Tim Burton (based on: a story and characters by)  Michael McDowell (adaptation)  Caroline Thompson (screenplay), Henry Selick, 8.0, PG, tt0107688, 198497, Animation  Family  Fantasy, Nominated for 1 Oscar. Another 6 wins & 6 nominations.
Demolition Man, 1993, 8 Oct 1993, English, 115, Peter M. Lenkov (story)  Robert Reneau (story)  Daniel Waters (screenplay)  Robert Reneau (screenplay)  Peter M. Lenkov (screenplay), Marco Brambilla, 6.6, R, tt0106697, 109813, Action  Crime  Sci-Fi, 1 win & 5 nominations.
Last Action Hero, 1993, 18 Jun 1993, English, 130, Zak Penn (story)  Adam Leff (story)  Shane Black (screenplay)  David Arnott (screenplay), John McTiernan, 6.2, PG-13, tt0107362, 94656, Action  Adventure  Comedy, 1 win & 14 nominations.
